Стоимость тарифа,Дата создания,Глубина бронирования,Дата заезда
9,2015-01-17,21,2015-02-07
9,2015-01-17,24,2015-02-08
10,2015-01-21,12,2015-02-01
10,2015-01-21,15,2015-02-02
10,2015-01-21,17,2015-02-03
10,2015-01-21,16,2015-02-04
10,2015-01-21,15,2015-02-05
11,2015-01-15,15,2015-01-29
11,2015-01-15,15,2015-01-30
18,2015-01-06,3,2015-01-06
11,2015-02-26,1,2015-02-27
11,2015-02-26,6,2015-02-28
11,2015-02-26,6,2015-03-01
11,2015-02-26,8,2015-03-02
9,2015-03-01,8,2015-03-04
15,2015-02-08,17,2015-02-21
15,2015-02-08,18,2015-02-22
15,2015-02-08,20,2015-02-23
15,2015-02-08,21,2015-02-24
15,2015-02-08,19,2015-02-25
10,2015-03-24,6,2015-03-25
10,2015-03-24,3,2015-03-26
10,2015-03-24,6,2015-03-27
10,2015-03-24,8,2015-03-28
10,2015-03-24,9,2015-03-29
7,2015-03-08,3,2015-03-09
7,2015-03-08,3,2015-03-10
7,2015-03-08,8,2015-03-11
7,2015-03-08,9,2015-03-12
7,2015-03-08,6,2015-03-13
7,2015-03-08,10,2015-03-14
7,2015-03-08,12,2015-03-15
3,2015-05-30,0,2015-05-30
5,2015-05-19,9,2015-05-27
5,2015-05-19,12,2015-05-28
5,2015-05-19,14,2015-05-29
3,2015-06-02,1,2015-06-02
4,2015-06-06,0,2015-06-06
15,2015-12-25,2,2015-12-25
15,2015-12-25,5,2015-12-26
8,2015-12-16,6,2015-12-19
8,2015-12-16,6,2015-12-20
8,2015-12-16,10,2015-12-21
3,2015-09-25,23,2015-10-15
3,2015-09-25,23,2015-10-16
3,2015-09-25,27,2015-10-17
4,2015-09-27,0,2015-09-27
4,2015-09-27,3,2015-09-28
6,2015-10-12,1,2015-10-12
6,2015-10-12,1,2015-10-13
6,2015-10-24,2,2015-10-24
4,2015-11-06,7,2015-11-13
3,2015-11-09,4,2015-11-09
3,2015-11-11,3,2015-11-11
7,2015-12-04,24,2015-12-23
7,2015-12-04,20,2015-12-24
13,2014-12-20,20,2015-01-06
13,2014-12-20,22,2015-01-07
13,2014-12-20,21,2015-01-08
10,2015-01-24,14,2015-02-06
10,2015-01-24,15,2015-02-07
10,2015-01-24,18,2015-02-08
9,2015-01-12,12,2015-01-24
9,2015-01-12,14,2015-01-25
9,2015-01-12,16,2015-01-26
9,2015-01-12,19,2015-01-27
9,2015-01-12,17,2015-01-28
9,2015-01-12,18,2015-01-29
9,2015-01-12,22,2015-01-30
8,2015-02-05,0,2015-02-05
7,2015-03-05,19,2015-03-24
7,2015-03-05,21,2015-03-25
7,2015-03-05,23,2015-03-26
7,2015-02-16,3,2015-02-16
7,2015-02-16,3,2015-02-17
9,2015-03-07,9,2015-03-12
9,2015-03-07,8,2015-03-13
9,2015-03-07,7,2015-03-14
3,2015-05-20,8,2015-05-27
3,2015-05-20,11,2015-05-28
3,2015-05-20,13,2015-05-29
3,2015-05-20,15,2015-05-30
6,2015-05-12,22,2015-06-02
6,2015-05-12,27,2015-06-03
6,2015-05-12,27,2015-06-04
6,2015-05-12,24,2015-06-05
6,2015-05-12,27,2015-06-06
4,2015-06-25,3,2015-06-25
3,2015-06-02,13,2015-06-12
3,2015-06-02,15,2015-06-13
3,2015-09-05,2,2015-09-05
3,2015-09-05,2,2015-09-06
3,2015-09-05,6,2015-09-07
3,2015-09-05,4,2015-09-08
3,2015-09-05,6,2015-09-09
3,2015-11-09,0,2015-11-09
7,2015-12-02,21,2015-12-23
7,2015-12-02,27,2015-12-24
8,2014-12-31,3,2015-01-02
8,2014-12-31,4,2015-01-03
8,2014-12-31,5,2015-01-04
13,2014-12-20,18,2015-01-07
13,2014-12-20,21,2015-01-08
13,2014-12-20,24,2015-01-09
13,2014-12-20,24,2015-01-10
